left;right;Category;Singular/Plural;N / M / F;weight;processor;processor_args;;;;;
NN_PLACES;Billstedt;;;;0.2;locations_processor;latitude:53.544185,longitude:10.131502;;;;;
NN_PLACES;Aumühle;;;;0.2;locations_processor;latitude:53.523082, longitude:10.317857;;;;;
NN_PLACES;China;;;;0.2;locations_processor;latitude:33.310970, longitude:108.449915;compass_direction_gt: 101.25, compass_direction_lt: 123.75;;;;
NN_PLACES;Moldawien;;;;0.2;locations_processor;latitude:47.260674, longitude:28.707511;compass_direction_gt: 101.25, compass_direction_lt: 123.75;;;;
NN_PLACES;Allermöhe;;;;0.2;locations_processor;latitude:53.481149, longitude:10.150669;;;;;
NN_PLACES;Tschechien;;;;0.2;locations_processor;latitude:49.915627, longitude:15.209135;compass_direction_gt: 123.75, compass_direction_lt: 146.25;;;;
NN_PLACES;Geesthacht;;;;0.2;locations_processor;latitude:53.440362, longitude:10.358139;;;;;
NN_PLACES;Österreich;;;;0.2;locations_processor;latitude:47.341664, longitude:14.199897;compass_direction_gt: 146.25, compass_direction_lt: 168.75;;;;
NN_PLACES;Stillhorn;;;;0.2;locations_processor;latitude:53.483201, longitude:10.029098;;;;;
NN_PLACES;Italien;;;;0.2;locations_processor;latitude:44.239701, longitude:11.269904;compass_direction_gt: 168.75, compass_direction_lt: 191.25;;;;
NN_PLACES;Harburg;;;;0.2;locations_processor;latitude:53.482096, longitude:9.887740;;;;;
NN_PLACES;Liechtenstein;;;;0.2;locations_processor;latitude:47.159650, longitude:9.544213;compass_direction_gt: 191.25, compass_direction_lt: 213.75;;;;
NN_PLACES;Winsen;;;;0.2;locations_processor;latitude:53.377436, longitude:10.205588;;;;;
NN_PLACES;Frankreich;;;;0.2;locations_processor;latitude:47.286806, longitude:2.224500;compass_direction_gt: 191.25, compass_direction_lt: 213.75;;;;
NN_PLACES;Heimfeld;;;;0.2;locations_processor;latitude:53.463651, longitude:9.904382;;;;;
NN_PLACES;Spanien;;;;0.2;locations_processor;latitude:40.592915, longitude:-3.219936;compass_direction_gt: 213.75, compass_direction_lt: 236.25;;;;
NN_PLACES;Neugraben;;;;0.2;locations_processor;latitude:53.476916, longitude:9.865670;;;;;
NN_PLACES;Belgien;;;;0.2;locations_processor;latitude:50.655744, longitude:4.615722;compass_direction_gt: 236.25, compass_direction_lt: 258.75;;;;
NN_PLACES;Buxtehude;;;;0.2;locations_processor;latitude:53.457018, longitude:9.685758;;;;;
NN_PLACES;Holland;;;;0.2;locations_processor;latitude:52.339664, longitude:5.520242;compass_direction_gt: 258.75, compass_direction_lt: 281.25;;;;
NN_PLACES;Elbemündung;;;;0.2;locations_processor;latitude:53.542007, longitude:9.880021;;;;;
NN_PLACES;England;;;;0.2;locations_processor;latitude:52.952663, longitude: -1.592843;compass_direction_gt: 281.25, compass_direction_lt: 303.75;;;;
NN_PLACES;Finkenwerder;;;;0.2;locations_processor;latitude:53.533404, longitude:9.852493;;;;;
NN_PLACES;Irland;;;;0.2;locations_processor;latitude:53.013502, longitude:-8.075693;compass_direction_gt: 281.25, compass_direction_lt: 303.75;;;;
NN_PLACES;Altenwerder;;;;0.2;locations_processor;latitude:53.507374, longitude:9.905928;;;;;
NN_PLACES;Schottland;;;;0.2;locations_processor;latitude:56.871812, longitude:-4.258397;compass_direction_gt: 303.75, compass_direction_lt: 326.25;;;;
NN_PLACES;Blankenese;;;;0.2;locations_processor;latitude:53.564321, longitude:9.797791;;;;;
NN_PLACES;Island;;;;0.2;locations_processor;latitude:64.982984, longitude: -18.061344;compass_direction_gt: 326.25, compass_direction_lt: 348.75;;;;
